year,aqi
2001.0,
2001.0,31.0
2001.0,
2001.0,47.0
2001.0,
2001.0,55.0
2001.0,
2001.0,53.0
2001.0,
2001.0,27.0
2001.0,
2001.0,21.0
2001.0,
2001.0,23.0
2001.0,
2001.0,37.0
2001.0,
2001.0,19.0
2001.0,
2001.0,38.0
2001.0,
2001.0,50.0
2001.0,
2001.0,24.0
2001.0,
2001.0,39.0
2001.0,
2001.0,27.0
2001.0,
2001.0,21.0
2001.0,
2001.0,15.0
2001.0,
2001.0,24.0
2001.0,
2001.0,24.0
2001.0,
2001.0,19.0
2001.0,
2001.0,23.0
2001.0,
2001.0,21.0
2001.0,
2001.0,19.0
2001.0,
2001.0,21.0
2001.0,
2001.0,19.0
2001.0,
2001.0,16.0
2001.0,
2001.0,16.0
2001.0,
2001.0,10.0
2001.0,
2001.0,19.0
2001.0,
2001.0,15.0
2001.0,
2001.0,18.0
2001.0,
2001.0,22.0
2001.0,
2001.0,23.0
2001.0,
2001.0,22.0
2001.0,
2001.0,20.0
2001.0,
2001.0,19.0
2001.0,
2001.0,19.0
2001.0,
2001.0,22.0
2001.0,
2001.0,19.0
2001.0,
2001.0,19.0
2001.0,
2001.0,12.0
2001.0,
2001.0,19.0
2001.0,
2001.0,20.0
2001.0,
2001.0,19.0
2001.0,
2001.0,15.0
2001.0,
2001.0,22.0
2001.0,
2001.0,15.0
2001.0,
2001.0,9.0
2001.0,
2001.0,13.0
2001.0,
2001.0,18.0
2001.0,
2001.0,16.0
2001.0,
2001.0,12.0
2001.0,
2001.0,18.0
2001.0,
2001.0,21.0
2001.0,
2001.0,24.0
2001.0,
2001.0,28.0
2001.0,
2001.0,
2001.0,
2001.0,
2001.0,26.0
2001.0,
2001.0,31.0
2001.0,
2001.0,31.0
2001.0,
2001.0,31.0
2001.0,
2001.0,32.0
2001.0,
2001.0,
2001.0,32.0
2001.0,
2001.0,26.0
2001.0,
2001.0,28.0
2001.0,
2001.0,23.0
2001.0,
2001.0,18.0
2001.0,
2001.0,11.0
2001.0,
2001.0,31.0
2001.0,
2001.0,22.0
2001.0,
2001.0,19.0
2001.0,
2001.0,17.0
2001.0,
2001.0,14.0
2001.0,
2001.0,14.0
2001.0,
2001.0,18.0
2001.0,
2001.0,16.0
2001.0,
2001.0,19.0
2001.0,
2001.0,18.0
2001.0,
2001.0,17.0
2001.0,
2001.0,17.0
2001.0,
2001.0,14.0
2001.0,
